Year,Week No.,Daily Rainfall Total (mm),Mean Temperature (C),Dengue (Count)
2012,1,1.839989996,27.06521734,74
2012,2,3.488352341,26.47277102,66
2012,3,15.04895458,27.20094139,61
2012,4,1.376448579,26.80994426,52
2012,5,8.25739896,26.55809524,85
2012,6,0.7145608243,27.54539337,87
2012,7,5.869741897,26.7989881,65
2012,8,4.465807323,27.62988095,51
2012,9,5.721743697,27.20859307,55
2012,10,9.901637655,27.09261905,46
2012,11,11.2647469,26.69285714,64
2012,12,6.54056036,27.69875145,73
2012,13,15.31907371,27.3342619,48
2012,14,12.32877451,27.15071429,52
2012,15,14.26295318,27.335,82
2012,16,7.766288515,27.73619048,77
2012,17,2.958032213,28.46714286,64
2012,18,13.31517057,27.81809524,88
2012,19,7.02727591,27.89950549,97
2012,20,8.124568828,28.74261905,80
2012,21,8.927152861,28.285,80
2012,22,4.126863745,28.31071429,81
2012,23,7.671570628,28.64619048,100
2012,24,0.0004081632653,29.43238095,88
2012,25,1.800622249,28.94249084,129
2012,26,3.111096439,28.31857143,151
2012,27,16.54010504,27.19309524,140
2012,28,3.027092837,27.54690476,132
2012,29,5.466642657,27.42309524,125
2012,30,0.6743817527,28.69952381,110
2012,31,8.326519608,28.15095238,94
2012,32,0.06010204082,28.51690476,127
2012,33,3.439963986,28.3047619,115
2012,34,2.529880952,27.98333333,92
2012,35,6.518166267,27.2025969,102
2012,36,4.577068828,27.47517007,76
2012,37,1.048397359,28.03914966,74
2012,38,2.52652461,28.34489796,72
2012,39,8.201693677,27.87494048,100
2012,40,3.256683673,28.1901925,104
2012,41,5.226564626,27.72711538,123
2012,42,14.27603741,26.84407801,105
2012,43,0.3054931973,28.73329932,84
2012,44,11.48343244,27.12886018,104
2012,45,7.956056423,27.1402381,100
2012,46,14.79168567,27.12088435,88
2012,47,10.70960284,27.25217687,100
2012,48,6.278222289,27.381231,80
2012,49,12.71501301,27.06010204,78
2012,50,17.09165366,26.36010204,105
2012,51,10.45010504,26.54411565,94
2012,52,2.813160264,26.73279762,112
2013,1,5.437827381,27.327,134
2013,2,7.791734694,27.5289881,205
2013,3,16.19671769,26.45297619,219
2013,4,1.000221088,27.17285714,267
2013,5,5.458120839,27.56302484,293
2013,6,21.4515186,26.02591931,322
2013,7,13.0668257,25.73154762,247
2013,8,2.779212685,27.22619048,296
2013,9,12.52077931,27.70066869,249
2013,10,5.462246899,27.83470019,273
2013,11,5.198132999,27.9514539,308
2013,12,3.459451781,28.59988095,307
2013,13,9.503840536,28.43355556,316
2013,14,7.84109944,28.31255952,406
2013,15,3.880270108,28.19473085,492
2013,16,8.114313725,28.72034884,509
2013,17,9.647928171,27.8139881,538
2013,18,5.777698079,28.37850557,547
2013,19,7.87185452,28.18386905,558
2013,20,5.308004202,28.97852172,611
2013,21,5.153941577,28.14377484,640
2013,22,5.048665466,28.02763492,746
2013,23,11.41429772,28.03283389,814
2013,24,1.270923369,29.73893651,809
2013,25,0.001972789116,29.91095238,842
2013,26,4.232904162,28.74779762,806
2013,27,2.284495798,28.14565856,678
2013,28,8.908150973,27.59727891,541
2013,29,2.684109589,27.74571429,390
2013,30,2.908560424,28.16102041,306
2013,31,5.08095038,27.90422619,289
2013,32,11.83956883,27.4547619,256
2013,33,4.16470088,27.70602826,378
2013,34,1.23869948,28.45863946,341
2013,35,4.296544262,27.9487415,386
2013,36,21.45226392,26.41384354,452
2013,37,7.794003513,27.2483438,339
2013,38,0.7674795474,28.55493197,376
2013,39,11.77303557,28.07955782,406
2013,40,4.561511011,27.86994048,441
2013,41,8.599881339,28.02885512,438
2013,42,12.48852569,27.98213669,374
2013,43,5.303683157,27.48823129,495
2013,44,13.16696295,27.00513605,458
2013,45,13.7655006,27.33897959,402
2013,46,11.05341165,26.83813576,444
2013,47,7.573582076,27.58849206,365
2013,48,13.9566292,27.05571429,372
2013,49,17.51464796,25.79166667,347
2013,50,7.818244898,27.24309524,381
2013,51,11.30271939,26.87571429,371
2013,52,2.579189676,26.68255238,414
2014,1,3.45620989,26.59255556,437
2014,2,8.061745826,26.53815912,479
2014,3,0.02582653061,26.285,401
2014,4,0,25.8102381,336
2014,5,0.0003571428571,26.22319048,234
2014,6,1.350520408,26.70071429,274
2014,7,1.011841837,27.66,369
2014,8,0.08628263262,27.65119048,194
2014,9,0.01075630252,27.50537229,187
2014,10,0.04823529412,27.69967075,210
2014,11,4.698329976,27.94751701,225
2014,12,10.04603593,27.0064161,210
2014,13,1.338511789,28.48229199,225
2014,14,5.524933473,28.35183891,240
2014,15,5.177700989,27.89616541,245
2014,16,8.262760771,28.19612245,235
2014,17,7.298876551,28.04870748,282
2014,18,5.452106608,28.79158055,251
2014,19,8.044413507,28.77989796,261
2014,20,11.42242333,28.30496599,291
2014,21,6.505259104,28.02928571,428
2014,22,5.903101761,28.43091837,456
2014,23,8.042502001,28.36037415,459
2014,24,4.20984994,29.19881708,506
2014,25,2.831882264,29.84806122,551
2014,26,3.305714441,28.79632653,671
2014,27,7.256214286,28.1527551,891
2014,28,11.465,28.11003401,819
2014,29,1.731106115,29.15061224,746
2014,30,3.091214286,29.45707483,634
2014,31,8.995506494,28.13915228,484
2014,32,4.048466387,27.8564881,545
2014,33,7.724863539,27.18618912,438
2014,34,4.757903667,27.96428571,418
2014,35,10.80971321,26.93910973,367
2014,36,5.978495671,27.94814286,339
2014,37,2.912464286,28.42782313,362
2014,38,3.58460582,28.64796353,397
2014,39,5.404057966,28.53357143,345
2014,40,3.742492688,28.61588435,339
2014,41,0.1769047619,28.99449241,278
2014,42,6.30229448,28.06519717,297
2014,43,2.72289162,28.29326058,213
2014,44,6.999831393,28.37931746,186
2014,45,14.55133516,27.82904762,169
2014,46,10.58947619,27.04880952,158
2014,47,8.106677565,27.01309524,149
2014,48,10.45849361,27.33926159,162
2014,49,12.27302642,27.38117674,212
2014,50,5.7223174,27.78717687,177
2014,51,13.6663827,26.75605442,198
2014,52,14.27103539,26.33670068,188
2014,53,0.17475,26.94422619,158
2015,1,9.109644788,26.44353741,257
2015,2,0.05489702815,27.26761905,228
2015,3,2.895392857,26.73292517,237
2015,4,0.1338948551,26.99243161,259
2015,5,2.757982625,26.25772109,212
2015,6,0.003962585034,26.78494658,173
2015,7,2.718596939,27.3202381,100
2015,8,1.867129068,27.73463108,172
2015,9,2.568771714,27.94595238,190
2015,10,4.981476612,27.38703647,110
2015,11,9.258516514,28.04108844,91
2015,12,3.626970031,28.28554865,130
2015,13,9.334341459,27.69377551,91
2015,14,3.590272109,28.59984563,107
2015,15,1.832414966,29.00098639,137
2015,16,8.664005102,27.89802721,113
2015,17,16.16670188,27.60882545,120
2015,18,2.929330444,28.67571429,135
2015,19,6.192627467,28.70119048,158
2015,20,7.338188275,28.48409408,109
2015,21,1.725588435,29.06619048,180
2015,22,3.784906463,28.74108844,152
2015,23,4.960550402,27.80808477,193
2015,24,1.585884354,28.70779762,207
2015,25,0.1298214286,29.80193878,240
2015,26,4.251461657,28.92855117,242
2015,27,2.609156067,29.11316327,272
2015,28,4.947323875,29.13732143,263
2015,29,0.7418911762,29.14262214,293
2015,30,2.213784965,28.23213908,250
2015,31,14.80567025,27.2402381,226
2015,32,3.554277211,28.38265306,221
2015,33,1.163897366,28.81806122,250
2015,34,1.652093074,28.82516211,225
2015,35,0.9612646704,29.11235931,246
2015,36,2.300672612,28.3405102,217
2015,37,5.470459184,28.29588435,303
2015,38,1.859639264,28.6214966,214
2015,39,7.278179963,28.13741497,257
2015,40,3.584313544,28.42557823,235
2015,41,0.5669642857,29.1055102,235
2015,42,1.21928147,29.12142857,224
2015,43,5.995175281,27.93363354,246
2015,44,5.292937683,27.9202381,266
2015,45,6.029650706,27.84714286,198
2015,46,10.17839648,27.4913861,254
2015,47,9.45875793,27.64227457,286
2015,48,16.53352888,27.48887755,259
2015,49,16.55286001,27.35605442,357
2015,50,1.190857143,27.757774,333
2015,51,5.891833333,28.10654195,372
2015,52,10.65165254,27.3614881,459
2016,1,0.8432386938,28.51795918,547
2016,2,8.27521645,28.15598639,620
2016,3,5.566435719,28.21095238,637
2016,4,4.873139908,28.14214286,624
2016,5,7.771061297,27.98012821,525
2016,6,3.766965922,27.44385714,419
2016,7,12.60681899,27.3782967,590
2016,8,2.676317356,27.835,511
2016,9,0.5692364364,28.49442857,411
2016,10,5.714487482,28.55478571,396
2016,11,0.9801632653,28.78811722,373
2016,12,2.683795918,28.92452381,306
2016,13,1.98091232,29.25501832,377
2016,14,5.059163265,29.04640351,291
2016,15,4.272112245,29.52357309,224
2016,16,5.049357143,29.62404762,229
2016,17,7.886377551,28.71719298,242
2016,18,3.541591837,29.49229167,180
2016,19,10.55314286,28.90402831,216
2016,20,11.56253061,28.66222222,212
2016,21,3.965122449,29.44754936,198
2016,22,4.334262705,28.06755714,216
2016,23,6.71622449,28.58042857,158
2016,24,11.80050816,27.69848485,193
2016,25,7.034506803,28.30236842,215
2016,26,0.01397959184,29.9390056,234
2016,27,3.839327559,29.49638095,247
2016,28,8.62386313,27.92752747,223
2016,29,15.06187166,27.13071011,266
2016,30,5.965806048,27.87935714,222
2016,31,2.68041507,28.61261905,210
2016,32,1.894497526,29.14784015,198
2016,33,7.251639062,29.11475433,222
2016,34,5.025677135,29.0573746,274
2016,35,3.235956999,28.34354497,311
2016,36,5.593965677,28.18166667,242
2016,37,9.54036274,28.09708791,175
2016,38,3.463060209,28.56720551,174
2016,39,0.7413945578,28.96897619,138
2016,40,11.25865738,27.95164286,125
2016,41,3.73916275,29.30436508,94
2016,42,4.304478458,28.66989975,108
2016,43,11.41942707,27.07360806,84
2016,44,8.880840336,27.73404762,86
2016,45,6.584147752,27.56885714,84
2016,46,13.59279647,27.14896703,72
2016,47,6.969143023,27.66984438,75
2016,48,2.818808694,27.34322222,86
2016,49,5.2637089,27.9871746,59
2016,50,4.157080499,27.99322344,81
2016,51,15.95901791,27.47047619,72
2016,52,1.976252646,26.73865385,64
2017,1,3.24490167,27.82152597,70
2017,2,3.686343358,28.14746513,91
2017,3,15.02699567,27.06462526,74
2017,4,14.1305771,26.08351396,63
2017,5,7.170832476,27.12153074,62
2017,6,6.839013002,27.19706319,77
2017,7,2.110904762,26.84962606,53
2017,8,7.39453602,27.02579125,54
2017,9,9.882270457,26.53513553,41
2017,10,4.775217087,27.25606516,32
2017,11,3.562943978,27.99659125,35
2017,12,6.278946986,28.11447293,32
2017,13,6.1304155,27.20735714,50
2017,14,5.293412163,28.09169683,37
2017,15,8.484611868,27.90304762,32
2017,16,12.74537018,27.96908425,51
2017,17,9.597643653,27.67239823,37
2017,18,4.441257522,28.47678166,42
2017,19,3.997507082,28.49411255,48
2017,20,5.106496303,29.00709275,50
2017,21,11.87663947,28.19575092,50
2017,22,10.14835113,28.9049881,66
2017,23,1.959868213,29.44961905,62
2017,24,8.473366639,28.61750361,80
2017,25,3.725713032,28.18827796,73
2017,26,3.682196016,27.96596639,75
2017,27,5.511472362,27.93416891,63
2017,28,11.81760317,27.47700529,53
2017,29,0.004299319728,28.98349206,51
2017,30,0.7715451401,29.2815873,67
2017,31,1.753015666,29.38505532,60
2017,32,7.270552384,27.54066649,56
2017,33,9.560052386,27.81251462,53
2017,34,1.750045879,28.41485714,52
2017,35,0.6508738759,28.46204762,33
2017,36,7.661329216,28.02238095,40
2017,37,6.347150116,28.15431373,53
2017,38,7.97238507,27.58212381,59
2017,39,6.134686589,27.78090605,39
2017,40,10.14233572,27.40880952,52
2017,41,8.822566253,28.28433333,55
2017,42,0.3231179138,29.65666667,63
2017,43,4.111800302,28.0137619,77
2017,44,7.641373175,27.48761905,62
2017,45,19.72222472,26.84957143,44
2017,46,14.89986021,27.90053333,50
2017,47,8.810005033,27.09466206,24
2017,48,1.78667897,27.86497835,38
2017,49,6.191234314,27.44239316,34
2017,50,15.782206,26.88197143,40
2017,51,5.444953309,26.73533187,51
2017,52,17.55935756,26.8716473,66
2018,1,11.14857931,26.4901095,83
2018,2,21.63638492,25.23267857,68
2018,3,4.902669854,26.73487619,54
2018,4,10.33056738,27.11178571,45
2018,5,6.301230861,27.34380952,48
2018,6,0.01456875471,26.84918095,50
2018,7,0.913622449,27.4397619,28
2018,8,2.472398124,27.60285714,39
2018,9,7.541874329,27.88729304,51
2018,10,3.949471243,27.51404762,37
2018,11,1.62929377,28.35132275,39
2018,12,3.40038131,28.29256085,36
2018,13,7.423581446,27.19437619,24
2018,14,4.841287943,28.23623525,38
2018,15,5.224116954,28.41865079,38
2018,16,9.585705287,28.07531746,56
2018,17,8.023668981,28.15851648,56
2018,18,7.998202782,28.37219577,77
2018,19,2.893205332,29.1852381,62
2018,20,11.15234509,28.32080586,64
2018,21,8.269452075,28.2452019,65
2018,22,13.54038095,27.75824845,54
2018,23,1.528304267,28.96688571,75
2018,24,4.430166171,28.76134174,55
2018,25,8.027782647,27.68847354,61
2018,26,13.79359197,27.15574892,76
2018,27,3.678364553,28.41369963,58
2018,28,4.331138006,28.10285714,44
2018,29,3.747690655,28.71420635,41
2018,30,1.792569817,29.07147619,56
2018,31,3.793888897,27.78251222,51
2018,32,0.6479144289,28.32357143,59
2018,33,1.055583407,28.65809524,43
2018,34,7.334980308,28.20276557,68
2018,35,3.898605348,27.88150183,75
2018,36,13.08117568,27.53564182,76
2018,37,1.1106775,28.30595238,49
2018,38,10.37302626,27.22785714,63
2018,39,0.7008779316,28.93142857,40
2018,40,2.327669586,28.75738095,51
2018,41,20.09005032,26.5510582,51
2018,42,3.689706887,27.77981685,62
2018,43,8.878003943,27.63195238,78
2018,44,7.580364635,27.19547302,75
2018,45,12.93790946,27.36714286,71
2018,46,10.75894346,27.22757143,78
2018,47,11.39072955,27.27627106,97
2018,48,8.713977514,27.47964286,109
2018,49,8.521087912,27.51452381,115
2018,50,11.92338068,27.17195767,108
2018,51,4.726232669,28.05461538,128
2018,52,0.7531738005,28.27919255,160
2019,1,1.836928248,28.52998871,207
2019,2,3.189000798,28.21952381,245
2019,3,8.001679295,27.70357143,215
2019,4,0.4269994085,27.85566138,222
2019,5,0.1606334694,27.95981569,182
2019,6,1.809559949,28.28587912,138
2019,7,2.715836646,28.31785714,235
2019,8,3.336582973,28.14428571,182
2019,9,0.1428666409,28.26998168,157
2019,10,1.613940901,28.62269231,134
2019,11,5.762153522,28.47609524,109
2019,12,6.842949984,28.92414286,97
2019,13,5.093809298,28.65184982,100
2019,14,8.513997516,28.20709524,108
2019,15,4.445956028,28.71193333,125
2019,16,2.989325694,29.16194039,135
2019,17,12.93142572,28.18052632,157
2019,18,3.507572948,28.99150665,194
2019,19,10.71797223,28.81486813,287
2019,20,6.528427794,28.53661905,309
2019,21,1.259298986,28.77421325,378
2019,22,6.800310439,28.89460317,401
2019,23,10.3405268,27.81165801,400
2019,24,8.376001588,28.72568824,467
2019,25,8.045294723,27.98579371,433
2019,26,1.470695538,28.73017143,497
2019,27,2.50305275,29.13308974,593
2019,28,3.803440956,28.90890989,664
2019,29,1.707504163,28.85318071,647
2019,30,2.873987372,28.72232601,605
2019,31,0.07187584345,28.97362637,600
2019,32,0.2773721805,28.95578836,523
2019,33,0.607105416,29.19731429,524
2019,34,0.1343458647,29.1152674,476
2019,35,4.110250057,27.99970696,414
2019,36,2.114535952,28.49250916,330
2019,37,0.209032303,28.39772487,318
2019,38,0.005,28.6228022,301
2019,39,8.635909091,27.83853333,261
2019,40,5.748657059,27.39181905,246
2019,41,5.488406129,27.97804029,228
2019,42,3.139958068,28.21809524,239
2019,43,11.87196983,27.31297919,242
2019,44,3.706913087,27.97380952,308
2019,45,3.619976771,28.81987179,322
2019,46,2.23537594,28.33864286,373
2019,47,7.281174361,27.07044048,334