date,dengue_search
2019-01-06,38
2019-01-13,37
2019-01-20,39
2019-01-27,29
2019-02-03,45
2019-02-10,52
2019-02-17,36
2019-02-24,32
2019-03-03,32
2019-03-10,26
2019-03-17,30
2019-03-24,20
2019-03-31,26
2019-04-07,31
2019-04-14,30
2019-04-21,31
2019-04-28,33
2019-05-05,33
2019-05-12,39
2019-05-19,40
2019-05-26,67
2019-06-02,47
2019-06-09,45
2019-06-16,81
2019-06-23,83
2019-06-30,71
2019-07-07,80
2019-07-14,89
2019-07-21,81
2019-07-28,100
2019-08-04,100
2019-08-11,88
2019-08-18,78
2019-08-25,57
2019-09-01,63
2019-09-08,62
2019-09-15,64
2019-09-22,47
2019-09-29,42
2019-10-06,40
2019-10-13,45
2019-10-20,41
2019-10-27,34
2019-11-03,56
2019-11-10,61
2019-11-17,60
2019-11-24,56
2019-12-01,37
2019-12-08,39
2019-12-15,45
2019-12-22,47
2019-12-29,39