date,dengue_symptoms_search
2019-01-06,15
2019-01-13,23
2019-01-20,26
2019-01-27,11
2019-02-03,9
2019-02-10,29
2019-02-17,21
2019-02-24,10
2019-03-03,16
2019-03-10,19
2019-03-17,14
2019-03-24,14
2019-03-31,22
2019-04-07,21
2019-04-14,23
2019-04-21,29
2019-04-28,42
2019-05-05,40
2019-05-12,15
2019-05-19,28
2019-05-26,43
2019-06-02,33
2019-06-09,42
2019-06-16,93
2019-06-23,77
2019-06-30,74
2019-07-07,58
2019-07-14,97
2019-07-21,80
2019-07-28,83
2019-08-04,100
2019-08-11,56
2019-08-18,49
2019-08-25,51
2019-09-01,36
2019-09-08,69
2019-09-15,42
2019-09-22,26
2019-09-29,23
2019-10-06,26
2019-10-13,18
2019-10-20,28
2019-10-27,49
2019-11-03,47
2019-11-10,49
2019-11-17,44
2019-11-24,51
2019-12-01,34
2019-12-08,19
2019-12-15,29
2019-12-22,46
2019-12-29,19