Week,dengue: (Singapore),Dengue fever: (Singapore),dengue symptoms: (Singapore),rashes: (Singapore),vomiting: (Singapore),eye pain: (Singapore),joint pain: (Singapore),fever: (Singapore),Wolbachia: (Singapore),headache: (Singapore),nausea: (Singapore),Fogging: (Singapore),Insect repellent: (Singapore),Mosquito: (Singapore)
5/1/14,44,61,18,67,43,30,27,73,0,22,9,0,1,5
12/1/14,38,55,14,73,38,0,26,66,2,25,11,0,3,5
19/1/14,31,46,13,60,52,12,13,80,0,27,8,0,3,4
26/1/14,23,33,8,57,39,31,0,64,0,25,12,0,3,6
2/2/14,28,38,6,56,31,0,7,72,0,22,8,0,3,8
9/2/14,35,50,14,75,56,0,10,58,0,24,15,0,3,13
16/2/14,28,41,11,55,34,7,12,59,0,25,11,39,4,12
23/2/14,34,49,16,40,21,0,23,73,0,28,7,18,6,19
2/3/14,31,54,16,42,30,10,14,56,2,20,10,28,9,20
9/3/14,18,33,7,62,39,0,18,48,0,14,13,0,6,17
16/3/14,21,29,10,29,40,11,12,57,0,17,6,0,3,12
23/3/14,26,38,5,38,40,21,13,48,0,20,7,65,4,8
30/3/14,26,40,8,51,47,0,6,57,0,24,9,0,3,11
6/4/14,21,30,6,46,47,11,25,58,2,24,5,29,3,8
13/4/14,24,37,6,21,33,0,0,50,0,21,10,0,5,9
20/4/14,33,43,11,36,44,8,15,61,0,20,11,0,2,10
27/4/14,30,45,10,48,52,11,0,55,0,23,6,0,1,11
4/5/14,18,25,6,47,32,12,0,69,0,24,15,0,3,8
11/5/14,25,37,11,49,45,0,13,65,0,22,17,0,5,9
18/5/14,22,41,12,44,28,12,16,69,2,29,8,26,3,9
25/5/14,32,48,12,48,44,23,21,72,0,30,6,0,5,9
1/6/14,26,43,10,41,44,11,15,71,2,28,9,0,3,9
8/6/14,32,53,7,60,47,0,18,70,0,21,13,0,3,7
15/6/14,37,59,10,41,45,14,17,79,0,28,11,22,4,8
22/6/14,33,56,11,65,18,20,29,78,0,32,11,0,3,8
29/6/14,49,73,19,50,24,6,14,69,0,27,9,0,2,9
6/7/14,64,98,28,64,24,17,20,89,0,22,7,0,3,6
13/7/14,56,89,18,63,36,0,0,80,0,21,11,0,2,8
20/7/14,59,94,23,40,41,8,18,83,0,20,7,0,3,10
27/7/14,47,71,22,34,31,0,11,82,0,29,5,0,3,8
3/8/14,53,78,19,34,36,11,14,71,0,26,7,0,1,9
10/8/14,48,71,11,45,34,0,23,66,0,24,11,0,2,9
17/8/14,50,75,33,54,45,8,14,79,0,22,12,0,2,7
24/8/14,41,61,16,45,34,8,0,72,0,26,7,0,3,9
31/8/14,35,54,9,64,40,0,15,61,0,21,9,0,1,6
7/9/14,31,41,6,62,43,14,15,58,5,22,11,29,4,8
14/9/14,28,42,5,65,40,0,28,53,2,21,8,0,3,6
21/9/14,23,35,9,44,49,7,0,50,3,21,9,40,5,7
28/9/14,30,45,18,50,90,0,0,52,0,23,10,0,3,5
5/10/14,23,38,6,18,40,0,21,55,0,25,10,0,1,4
12/10/14,21,33,8,34,32,0,16,50,0,25,10,0,2,6
19/10/14,27,42,5,38,57,36,15,51,2,25,12,0,2,5
26/10/14,26,41,11,40,49,0,19,43,0,25,13,0,3,8
2/11/14,15,28,0,34,39,21,25,43,2,23,12,0,2,5
9/11/14,21,28,8,46,40,0,23,54,0,28,8,37,2,5
16/11/14,26,32,8,59,50,9,11,57,2,28,10,0,3,5
23/11/14,19,39,0,35,31,6,0,49,0,23,6,0,2,5
30/11/14,21,32,5,47,31,23,0,53,0,21,15,0,4,5
7/12/14,18,30,8,46,36,0,24,61,0,28,11,19,2,7
14/12/14,16,28,7,12,43,14,14,56,0,25,11,28,2,6
21/12/14,13,22,10,65,58,18,20,60,0,19,9,0,3,5
28/12/14,19,35,9,42,49,0,24,61,3,22,5,47,3,5
4/1/15,16,26,16,42,40,0,13,53,0,17,14,0,4,7
11/1/15,25,38,12,66,44,10,13,63,0,25,12,0,1,5
18/1/15,17,28,6,44,40,12,16,58,0,21,10,0,1,5
25/1/15,21,35,11,67,25,17,13,62,0,19,9,0,2,5
1/2/15,18,31,8,42,38,0,13,56,0,27,12,0,2,6
8/2/15,15,23,4,37,46,0,24,64,0,25,13,28,0,5
15/2/15,15,28,4,46,51,9,21,61,2,21,15,0,2,4
22/2/15,21,33,6,39,67,21,0,60,0,30,12,45,2,6
1/3/15,16,30,3,61,38,15,17,65,0,24,9,0,2,7
8/3/15,22,34,5,44,45,14,25,62,0,25,12,0,3,7
15/3/15,22,29,9,45,34,0,13,72,0,23,9,0,3,7
22/3/15,17,27,4,38,49,12,10,58,2,21,11,0,4,6
29/3/15,14,20,2,20,64,5,12,63,0,19,11,0,2,6
5/4/15,16,33,5,48,40,0,19,66,0,21,12,0,3,7
12/4/15,15,28,4,48,59,14,30,61,0,29,11,0,3,6
19/4/15,18,34,13,40,41,10,8,53,0,26,9,33,5,7
26/4/15,9,32,5,32,30,12,0,49,0,21,9,0,3,5
3/5/15,16,25,5,39,39,21,7,60,4,24,8,0,3,8
10/5/15,23,37,12,43,39,7,15,78,0,32,10,55,4,6
17/5/15,25,43,6,62,32,6,23,68,0,25,7,28,3,6
24/5/15,20,34,6,50,32,7,10,76,1,30,11,0,4,8
31/5/15,18,31,5,47,43,0,14,93,0,21,9,0,2,6
7/6/15,18,33,11,55,40,17,11,77,0,23,12,52,3,6
14/6/15,25,36,6,41,51,9,19,80,0,25,10,0,4,7
21/6/15,29,43,5,40,36,16,25,77,0,25,14,29,5,8
28/6/15,25,38,5,44,44,12,17,71,0,24,6,23,4,7
5/7/15,23,37,5,47,39,6,9,66,0,29,11,0,5,6
12/7/15,26,44,8,66,41,10,19,62,0,29,8,0,2,8
19/7/15,27,39,6,46,32,0,34,55,1,26,15,0,3,7
26/7/15,23,34,3,29,37,7,14,64,0,25,7,0,2,5
2/8/15,18,26,6,35,36,0,23,61,0,16,11,0,4,8
9/8/15,17,27,2,42,34,0,14,60,0,23,10,24,2,6
16/8/15,22,30,9,61,32,11,22,66,0,25,8,0,2,7
23/8/15,21,33,2,38,56,6,17,62,3,23,9,37,2,6
30/8/15,15,27,4,48,28,0,15,58,0,22,7,18,3,7
6/9/15,19,33,5,48,40,0,24,53,0,24,10,0,3,5
13/9/15,22,35,3,41,47,6,17,58,0,21,9,46,2,5
20/9/15,21,33,4,36,23,27,12,60,1,22,11,16,3,6
27/9/15,25,43,6,41,28,5,13,66,0,26,12,0,2,8
4/10/15,22,37,9,32,37,6,14,67,0,23,8,0,2,5
11/10/15,21,31,7,46,45,13,16,58,0,17,15,0,3,5
18/10/15,22,34,8,43,24,0,22,57,0,18,8,0,2,7
25/10/15,20,32,8,37,36,9,23,60,0,22,9,0,3,6
1/11/15,27,39,5,71,40,0,21,61,0,22,7,0,1,6
8/11/15,22,30,4,58,48,0,0,59,0,24,11,0,5,6
15/11/15,22,36,10,34,41,8,17,62,0,20,9,0,3,7
22/11/15,18,38,4,48,34,10,22,50,0,27,8,0,4,6
29/11/15,22,30,7,50,42,6,18,62,0,29,7,39,2,7
6/12/15,25,36,9,60,44,15,12,60,4,22,8,0,0,7
13/12/15,34,56,13,49,66,13,11,67,0,26,16,0,4,8
20/12/15,22,32,0,75,54,16,0,65,0,24,8,0,4,9
27/12/15,37,55,12,75,41,0,36,78,0,28,12,0,4,7
3/1/16,50,80,19,66,57,9,27,76,0,27,11,0,3,8
10/1/16,48,71,16,51,39,11,16,76,0,30,11,0,4,6
17/1/16,42,66,12,22,48,0,27,84,3,25,14,25,3,10
24/1/16,66,100,20,50,46,14,15,91,0,25,8,0,3,12
31/1/16,58,86,24,53,41,14,10,97,0,22,7,55,7,16
7/2/16,60,87,18,59,41,8,28,100,0,31,12,0,4,8
14/2/16,55,89,19,45,41,0,15,93,0,30,13,0,3,7
21/2/16,48,71,18,55,40,33,26,81,2,29,8,0,4,8
28/2/16,43,60,17,32,38,26,17,78,0,24,15,0,3,8
6/3/16,37,58,11,69,46,6,21,82,0,25,12,0,5,6
13/3/16,36,56,14,48,38,13,10,67,4,21,11,33,3,7
20/3/16,27,42,6,57,16,12,0,71,0,23,11,0,4,7
27/3/16,35,52,11,41,44,7,20,71,0,26,13,46,3,7
3/4/16,34,54,7,39,46,12,8,64,0,28,13,0,4,6
10/4/16,34,50,10,56,45,9,23,71,4,31,14,0,3,7
17/4/16,26,40,6,57,56,0,14,66,2,25,10,36,4,6
24/4/16,24,34,6,70,45,8,26,61,0,30,9,0,2,6
1/5/16,23,37,14,59,42,20,18,56,0,23,10,0,4,7
8/5/16,26,44,3,48,57,5,20,67,0,32,12,0,3,8
15/5/16,21,32,7,47,37,6,18,59,0,26,14,0,5,11
22/5/16,26,42,9,50,40,0,22,63,0,25,9,39,5,8
29/5/16,27,42,6,49,50,16,18,66,0,28,7,0,4,10
5/6/16,27,44,11,34,49,9,7,71,0,27,11,19,3,7
12/6/16,23,34,7,46,53,13,31,70,0,23,13,0,5,8
19/6/16,24,40,10,34,26,0,0,65,1,24,12,0,3,8
26/6/16,30,45,12,63,29,7,21,65,0,32,10,0,4,8
3/7/16,23,38,15,30,38,0,9,61,0,29,9,22,3,7
10/7/16,30,48,7,32,41,8,30,73,0,24,12,0,1,7
17/7/16,30,41,13,26,20,9,11,76,1,23,8,0,4,7
24/7/16,30,44,15,49,45,12,27,77,0,24,10,0,3,7
31/7/16,32,49,8,63,49,12,26,78,0,21,9,0,3,8
7/8/16,22,29,6,41,41,0,0,64,0,22,14,0,5,6
14/8/16,27,34,3,39,59,18,24,55,0,21,12,0,3,6
21/8/16,20,33,8,48,35,12,25,54,0,24,9,0,3,5
28/8/16,59,85,13,93,26,12,28,78,3,23,9,60,100,100
4/9/16,41,63,8,66,40,14,15,67,2,26,4,0,48,52
11/9/16,31,48,8,59,58,0,35,64,0,30,6,20,15,23
18/9/16,27,41,6,53,46,5,22,71,2,34,8,0,11,16
25/9/16,18,30,6,43,48,10,11,57,1,29,15,0,5,11
2/10/16,21,35,3,49,55,0,22,53,0,25,13,0,4,6
9/10/16,27,39,6,46,46,15,17,66,2,29,5,0,6,9
16/10/16,18,26,6,52,72,0,16,57,6,29,10,23,3,7
23/10/16,20,26,6,38,50,0,18,53,2,16,13,0,3,7
30/10/16,16,28,5,35,47,23,15,55,3,26,11,0,3,6
6/11/16,10,20,4,32,45,20,15,59,2,36,11,0,3,4
13/11/16,13,16,2,47,38,10,25,61,0,24,11,17,3,7
20/11/16,19,24,6,53,35,11,15,55,0,24,7,72,3,6
27/11/16,14,19,2,58,52,17,9,59,1,20,12,0,3,7
4/12/16,8,13,0,42,36,7,9,56,0,27,6,0,3,5
11/12/16,10,18,4,58,60,15,12,45,0,27,10,0,4,7
18/12/16,7,12,3,48,35,15,7,49,0,23,10,0,2,5
25/12/16,11,21,5,40,62,9,15,57,1,26,9,0,3,6
1/1/17,13,25,7,39,43,6,22,76,0,24,12,0,3,8
8/1/17,15,21,7,45,53,0,22,57,0,23,13,0,2,4
15/1/17,15,20,0,38,30,27,19,63,2,22,10,0,3,5
22/1/17,12,19,2,47,63,0,0,52,0,27,10,0,4,6
29/1/17,13,23,6,57,51,10,14,67,1,19,17,100,3,6
5/2/17,15,28,9,44,33,14,15,68,0,27,11,0,3,5
12/2/17,12,19,7,50,58,11,11,69,0,19,10,0,3,5
19/2/17,12,21,6,30,51,11,12,67,0,25,10,52,4,7
26/2/17,15,19,5,34,34,7,14,56,0,25,9,0,4,5
5/3/17,13,22,9,52,49,15,19,67,0,31,12,18,2,6
12/3/17,13,24,3,63,47,5,14,68,0,22,7,0,4,5
19/3/17,14,19,5,44,26,18,19,67,0,35,11,0,2,7
26/3/17,12,17,8,38,42,10,7,66,0,21,9,0,4,5
2/4/17,17,34,6,47,41,7,15,68,0,34,10,0,6,8
9/4/17,12,18,3,56,25,16,18,64,0,22,7,0,3,6
16/4/17,9,22,4,37,22,9,19,65,2,27,11,0,3,8
23/4/17,16,23,3,57,48,0,8,70,0,27,13,22,2,6
30/4/17,18,27,9,58,52,15,8,75,0,28,14,0,3,6
7/5/17,12,18,6,55,38,16,22,72,0,28,12,0,3,8
14/5/17,14,22,4,35,32,8,29,81,0,28,13,0,2,8
21/5/17,17,26,4,38,40,11,23,87,2,31,10,0,2,6
28/5/17,20,31,8,44,38,0,9,86,2,26,10,16,3,7
4/6/17,15,23,6,45,51,23,17,70,0,25,8,0,2,6
11/6/17,15,23,5,54,27,0,9,71,0,24,10,0,2,8
18/6/17,11,17,4,50,35,0,15,67,0,32,11,0,0,5
25/6/17,14,22,2,50,36,17,19,66,0,25,10,35,3,6
2/7/17,15,25,4,39,35,22,21,61,0,30,12,0,4,6
9/7/17,16,25,3,55,34,6,23,76,0,25,16,16,5,5
16/7/17,15,24,5,51,32,16,16,75,0,26,14,26,3,6
23/7/17,13,19,2,57,40,6,25,57,0,24,11,0,3,4
30/7/17,12,14,5,40,53,0,10,52,0,29,14,0,2,6
6/8/17,13,14,4,43,45,11,26,56,1,29,12,0,4,6
13/8/17,15,22,5,41,30,9,12,57,0,26,11,0,2,7
20/8/17,19,19,3,47,43,7,16,60,0,32,11,25,3,6
27/8/17,6,13,2,64,48,11,19,66,2,28,9,0,3,8
3/9/17,12,15,2,58,49,14,22,66,0,26,14,0,3,6
10/9/17,13,20,3,39,46,17,11,66,0,21,13,0,2,5
17/9/17,12,25,2,77,22,10,28,60,1,26,12,0,2,6
24/9/17,16,21,5,40,40,19,13,60,2,31,4,0,4,6
1/10/17,15,23,4,46,35,11,17,63,0,30,10,0,4,6
8/10/17,14,20,6,42,34,11,12,67,0,29,9,0,4,6
15/10/17,18,26,9,38,71,0,0,63,2,24,12,0,3,6
22/10/17,12,22,7,39,52,14,25,54,0,32,12,0,3,6
29/10/17,15,25,5,63,53,0,18,56,1,27,8,0,2,5
5/11/17,16,22,4,53,25,10,37,56,0,27,12,0,4,5
12/11/17,14,18,4,50,43,16,22,71,0,35,12,0,5,8
19/11/17,14,22,9,58,35,5,20,71,0,30,13,15,2,5
26/11/17,15,16,11,43,53,19,8,67,1,30,15,0,3,6
3/12/17,18,26,0,26,47,18,23,62,0,33,10,0,3,7
10/12/17,18,26,7,58,43,12,13,68,0,27,12,0,4,4
17/12/17,9,17,3,42,49,14,9,68,0,27,12,31,2,5
24/12/17,11,14,3,72,55,15,13,66,0,27,10,0,1,6
31/12/17,10,19,4,41,40,39,23,63,0,31,12,0,3,5
7/1/18,16,22,8,41,39,10,13,69,4,29,13,0,2,6
14/1/18,12,20,3,54,44,12,16,79,0,23,12,0,2,5
21/1/18,18,25,4,55,55,9,24,78,0,27,13,0,4,7
28/1/18,9,17,2,47,51,16,11,73,0,27,13,0,1,4
4/2/18,10,16,4,52,45,6,26,72,2,28,13,0,2,6
11/2/18,10,23,7,47,49,8,0,72,0,29,10,0,2,5
18/2/18,14,21,5,61,41,0,18,72,0,28,11,0,2,6
25/2/18,10,15,2,53,59,13,19,68,5,27,12,21,2,7
4/3/18,12,16,2,30,51,11,19,63,1,31,12,0,3,6
11/3/18,12,19,5,23,65,15,24,65,0,23,10,0,3,8
18/3/18,10,18,1,57,25,7,20,66,0,27,7,0,2,5
25/3/18,12,17,3,47,61,9,19,70,1,26,11,27,3,8
1/4/18,12,19,2,38,46,0,26,66,1,29,15,23,4,8
8/4/18,9,14,3,44,47,8,10,58,1,29,11,18,4,8
15/4/18,7,12,0,39,41,4,20,59,0,27,14,0,0,7
22/4/18,9,13,1,59,30,12,17,58,0,26,14,0,3,7
29/4/18,21,32,8,56,62,8,19,59,1,28,11,0,4,7
6/5/18,37,56,9,49,44,7,22,65,1,32,10,0,6,10
13/5/18,17,22,2,44,46,0,17,59,0,32,9,0,4,7
20/5/18,20,35,5,63,43,10,13,66,6,28,9,39,3,9
27/5/18,18,24,8,29,43,19,32,51,1,26,11,0,3,8
3/6/18,17,20,4,60,32,4,12,56,0,28,11,0,3,9
10/6/18,21,28,5,45,56,8,27,60,0,25,12,0,3,7
17/6/18,13,19,5,60,20,10,24,65,0,27,6,0,1,6
24/6/18,15,23,7,49,45,10,34,61,0,30,14,14,3,9
1/7/18,13,21,4,48,55,7,15,63,0,30,8,0,4,8
8/7/18,13,18,3,65,25,11,33,64,0,27,10,16,3,7
15/7/18,13,18,3,60,46,6,11,63,0,30,11,0,4,7
22/7/18,14,22,5,41,40,7,5,64,3,31,12,0,3,6
29/7/18,14,27,8,50,48,0,18,66,0,23,14,0,2,9
5/8/18,14,18,3,35,30,20,21,62,0,27,12,36,3,7
12/8/18,11,15,2,56,42,8,29,63,0,27,9,0,3,5
19/8/18,12,21,5,36,45,11,21,55,3,25,14,0,2,6
26/8/18,12,16,3,34,31,7,12,48,0,23,8,0,4,6
2/9/18,10,17,3,52,33,13,21,52,1,30,7,0,3,6
9/9/18,11,14,3,48,39,11,15,51,1,29,11,0,2,5
16/9/18,14,22,4,43,37,9,21,54,0,31,11,0,2,6
23/9/18,13,22,8,54,48,21,10,55,0,25,9,0,5,6
30/9/18,10,17,5,27,35,9,13,48,0,30,11,0,2,6
7/10/18,10,14,0,38,43,5,19,62,0,29,12,0,4,5
14/10/18,11,16,2,55,65,0,31,50,0,30,12,0,3,6
21/10/18,10,18,3,45,32,18,22,61,2,28,7,0,1,5
28/10/18,13,21,5,39,55,16,30,55,0,27,8,0,2,6
4/11/18,14,22,3,44,42,0,20,65,0,25,11,0,1,7
11/11/18,13,19,0,64,42,9,37,71,0,27,8,0,4,8
18/11/18,14,22,4,46,48,17,27,69,1,26,13,42,4,7
25/11/18,20,26,8,31,49,12,14,66,1,30,13,30,5,9
2/12/18,22,32,3,45,58,15,10,68,0,27,9,0,2,9
9/12/18,18,25,5,49,59,0,17,61,0,23,13,0,4,8
16/12/18,19,29,2,49,69,9,23,75,0,27,15,0,4,7
23/12/18,18,24,5,40,74,13,20,81,0,23,12,0,3,5
30/12/18,18,25,4,63,61,7,21,75,3,30,10,29,2,6