date,headache_search
2019-01-06,60
2019-01-13,75
2019-01-20,69
2019-01-27,89
2019-02-03,81
2019-02-10,72
2019-02-17,65
2019-02-24,78
2019-03-03,77
2019-03-10,62
2019-03-17,67
2019-03-24,69
2019-03-31,76
2019-04-07,85
2019-04-14,68
2019-04-21,78
2019-04-28,69
2019-05-05,81
2019-05-12,82
2019-05-19,57
2019-05-26,83
2019-06-02,64
2019-06-09,81
2019-06-16,76
2019-06-23,87
2019-06-30,79
2019-07-07,72
2019-07-14,71
2019-07-21,92
2019-07-28,80
2019-08-04,71
2019-08-11,83
2019-08-18,95
2019-08-25,64
2019-09-01,81
2019-09-08,87
2019-09-15,95
2019-09-22,93
2019-09-29,74
2019-10-06,90
2019-10-13,85
2019-10-20,80
2019-10-27,98
2019-11-03,74
2019-11-10,82
2019-11-17,95
2019-11-24,100
2019-12-01,73
2019-12-08,67
2019-12-15,79
2019-12-22,70
2019-12-29,71